Model,Seed,Accuracy,Balanced_Accuracy,F1_Macro,Sensitivity,MCC,ROC_AUC
XGBoost,87,0.5657894736842105,0.5047892720306514,0.4917933130699088,0.3888888888888889,0.008383045488384745,0.501676245210728
Random Forest,87,0.6710526315789473,0.47796934865900387,0.4673395009812167,0.1111111111111111,-0.05324202456275273,0.5221503831417624
Gradient Boosting,87,0.6710526315789473,0.4875478927203065,0.4808743169398907,0.1388888888888889,-0.029036381151856944,0.46791187739463597
AdaBoost,87,0.6578947368421053,0.45977011494252873,0.44603308102046535,0.08333333333333333,-0.09722456659285282,0.45522030651341
HistGradientBoosting,87,0.6381578947368421,0.5043103448275862,0.5042400521852577,0.25,0.008540287156800564,0.48802681992337166
K-Nearest Neighbors,87,0.5460526315789473,0.43438697318007663,0.43658340048348104,0.2222222222222222,-0.11936683015643917,0.4305555555555556
Logistic Regression,141,0.6052631578947368,0.5498084291187739,0.5324036095159967,0.4444444444444444,0.08779776400125335,0.5098180076628352
SVM (Linear),141,0.5789473684210527,0.5325670498084292,0.5128205128205128,0.4444444444444444,0.05665250531028743,0.5092193486590038
SVM (RBF),141,0.6118421052631579,0.4583333333333333,0.4578976001934353,0.16666666666666666,-0.08415347337933878,0.4822796934865901
MLP (Basic),141,0.6052631578947368,0.5019157088122606,0.4990112063282795,0.3055555555555556,0.0035457481843903836,0.49568965517241376
MLP (Deep),141,0.5657894736842105,0.4952107279693486,0.48564397046759633,0.3611111111111111,-0.008442092692428207,0.5021551724137931
MLP (Very Deep),141,0.5789473684210527,0.46551724137931033,0.4656119534168314,0.25,-0.06382346731902691,0.5033524904214559
XGBoost,141,0.5723684210526315,0.5186781609195402,0.5023923444976077,0.4166666666666667,0.03258943815557259,0.5234674329501916
