Model,Seed,Accuracy,Balanced_Accuracy,F1_Macro,Sensitivity,MCC,ROC_AUC
Gradient Boosting,20,0.7631578947368421,0.5,0.43283582089552236,0.0,0.0,0.5941091954022989
AdaBoost,20,0.7631578947368421,0.5,0.43283582089552236,0.0,0.0,0.5671695402298851
HistGradientBoosting,20,0.7039473684210527,0.47078544061302685,0.4337279576123851,0.027777777777777776,-0.09587462591742005,0.4727011494252873
K-Nearest Neighbors,20,0.6381578947368421,0.46599616858237547,0.4618603154168008,0.1388888888888889,-0.0735845334038939,0.5465756704980843
Logistic Regression,87,0.75,0.5296934865900383,0.5133131108864173,0.1111111111111111,0.10184208069586996,0.6235632183908045
SVM (Linear),87,0.5592105263157895,0.5866858237547892,0.5281471528517815,0.6388888888888888,0.14742879874966064,0.6336206896551725
SVM (RBF),87,0.5921052631578947,0.5699233716475096,0.5380392156862746,0.5277777777777778,0.12042073649986958,0.5648946360153256
MLP (Basic),87,0.6578947368421053,0.5555555555555556,0.551622418879056,0.3611111111111111,0.10563716750846341,0.5714798850574712
MLP (Deep),87,0.618421052631579,0.539272030651341,0.5297631747386389,0.3888888888888889,0.07107363222395364,0.5742337164750958
MLP (Very Deep),87,0.6118421052631579,0.5732758620689655,0.5483253588516747,0.5,0.1278508727641694,0.6254789272030652
XGBoost,87,0.7631578947368421,0.5,0.43283582089552236,0.0,0.0,0.5702825670498084
Random Forest,87,0.6710526315789473,0.4875478927203065,0.4808743169398907,0.1388888888888889,-0.029036381151856944,0.5720785440613027
Gradient Boosting,87,0.7697368421052632,0.5138888888888888,0.46148395586597835,0.027777777777777776,0.14607949895422254,0.5621408045977012
AdaBoost,87,0.7631578947368421,0.5,0.43283582089552236,0.0,0.0,0.49640804597701144
HistGradientBoosting,87,0.6907894736842105,0.4813218390804598,0.46297827557693755,0.08333333333333333,-0.0503910036533546,0.6020114942528736
K-Nearest Neighbors,87,0.6644736842105263,0.5694444444444444,0.5638818565400844,0.3888888888888889,0.13109926951419298,0.6075191570881227
Logistic Regression,141,0.7368421052631579,0.5593869731800767,0.5622119815668203,0.2222222222222222,0.1493824121967702,0.6077586206896551
SVM (Linear),141,0.4342105263157895,0.5239463601532567,0.4278711484593838,0.6944444444444444,0.04291885021871706,0.5921934865900383
